zouave zuavog
zoophyte zoofitog
zoology zoologiog
zone terzonog
zodiac zodiakog
zinc-worker zinkistog
zinc zinkog
zigzag zigzagog
zest gustog
zero nulog
zephyr ventetog
zenith zenitog
zebra zebrog
zealous fervorag
zealot fervorulog
zeal fervorog
zany ŝercemulog
yule kristnaskog
youthfulness junecog
youthful junag
youth junulog
youngster junulo—inog
younger plijunag
young junag
you vi
yonder tie
yoke jugog
yew taksusog
yet tameng
yesterday hieraŭg
yes jesg
yelp hundblekig
yellowish dubeflavag
yellow flavag
yell kriegog
yell kriegig
yeast panfermentilog
yearning dezirego—adog
yearn deziregig
yearly ĉiujarag
year jarog
yea jes
ye vig
yawn oscedo—adog
yawn oscedig
yarn lanfadenaĵog
yard kortog
yacht ŝipetog
wry tordag
wroth koleregag
wrongly malrajte
wrongfully malrajteg
wrong malpravag
wrong malpravecog
writing-table skribotablog
writing skribaĵog
writer skribistog
write skribig
wrist manradikog
wrinkle sulkigig
wriggle tordi
wretched mizerag
wretch malbonulo
wrestler baraktistog
wrestle baraktig
wrest tiregig
wrench ektiregig
wren regolog
wreckage derompaĵog
wreathe plekti
wreath garlandog
wrathful koleregag
wrath koleregog
wrapper kovrilog
wrap faldi
wrangle disputado
wrangle disputi
wrack fukog
wound vundig
worthless senvalorag
wort mostog
worsted malvenkitag
worship adoro—adog
worship adorig
worry enuo
wormwood absintog
worm-shaped vermoformag
worm vermog
worldly mondag
world mondog
workmanship metiistartog
workmanlike lertag
workshop metiejo
workbox necesujog
workman laboristo
worker laboristog
work laborig
wordiness babilaĵog
woolly lanecag
wool lanog
woof teksaĵog
wooer amisto
woodpecker pegog
woodhouse lignejog
woodcutter arbohakistog
woodcock skolopog
wood arbaretog
woo amindumig
wonted kutimag
wonderful mirinda—egag
wonder mirego
wonder mirig
womb uterog
woman virinog
wolf lupog
woful ĉagrenega
woe veg
wizard sorĉistog
witty sprita
wittiness spritecog
witticism spritaĵog
witness atestantog
witness atestig
withstand kontraŭstari
without seng
within en
withhold fortirig
wither velki
withdrawal reenpaŝog
withdraw eliĝig
with kun
witchcraft sorĉo—artog
witch sorĉistinog
wit spritulog
wit spritog
wistful pensantag
wish volo
wise saĝa
wisdom saĝo
wire metalfadenog
wipe viŝig
wintry vintrag
winter vintrog
winter travintrig
winnow ventolig
wink palpebrumig
wing flugilog
wine vinog
windy ventag
windpipe traĥeog
window fenestrog
windlass turnilog
winch turnilog
wince ektremig
win gajnig
wily ruzag
willy-nilly vole-nevoleg
willow salikog
willingly volonteg
will-o'-the-wisp erarlumog
will testamentog
wilful obstinag
wile ruzog
wilderness dezertog
wild sovaĝag
wig perukog
wife edzinog
wield manpreni
width larĝecog
widowhood vidvecog
widower vidvog
widow vidvinog
widen plilarĝigig
wide larĝag
wicker salikaĵog
wicket pordetog
wickedness malvirteco
wicked malvirta
wick meĉo—aĵog
why kialg
whose kiesg
whom kiung
wholesome sanigag
wholesale pograndeg
whole tutog
whole tutag
who kiug
whizz siblig
whitsuntide pentekostog
whither kieng
whitish dubeblankag
whiting merlangog
whiten blankigig
white blankag
whit porcietog
whist vistog
whistle fajfig
whistle fajfilog
whisper murmurog
whisper paroleti
whiskers vangharojg
whisk fojnbalaog
whirlwind turnoventog
whirlpool turnakvog
whirl turniĝadig
whir turniĝadig
whip vipog
whip vipig
whinny ĉevalbleketog
whine ploreti
whimsical kapricag
whimper ploretig
whim kapricog
while dumg
whiff subitventetog
which kio
whey selaktog
whether ĉug
whet akrigig
wherry barketog
wherefore kialg
where kieg
when kiamg
whelp ido
wheelwright radfaristog
wheelwork radarog
wheelbarrow puŝveturilog
wheel radog
wheedler delogistog
wheedling karesa
wheedle karesi
wheat tritikog
wharf enŝipigejog
whalebone balenostog
whale balenog
wet malsekag
wet malsekigig
westerly okcidentag
west okcidentog
wench knabulinog
wen tuberog
welter enŝlimiĝig
well-wishing bonvola
well-spring fonto
well-nigh preskaŭg
