quicksort doupleplusgoodsort
heapsort goodsort
minsort plusbadsort
bubblesort badsort
mergesort plusgoodsort
ass donkey
jews yahoodies
advice soviet
ancient starry
animal nonhuman
annoy razdraz
annoyed fashed
arm rook
arrogant nadmenny
at @
ate 8
bad baddiwad
band banda
barrier shest
bastard bratchny
bat shlaga
battle bitva
beak cluve
beef tofu
before b4
bell collocoll
bellpull zvonock
belly brooko
big bolshy
blood krovvy
body plott
book tv
bothered fashed
boy malchick
boyfriend bf
brain mozg
brainy oomny
bread kleb
break cluve
breast groody
brother brat
bugger sod
butter maslo
buttocks sharries
button knopka
buttoning knopkavat
c goodlang
cat badfriend
cat koshka
caught loveted
chain oozy
chaplain charlie
chicken mcnuggets
chickenfeed hen-korm
chicks chx
christmas hohoday
chronic goodmedicine
cigar badsmoke
cigarette badsmoke
cinema cine
cinema filmdrome
clothes platties
clothing koshtoom
club shlaga
clubbed shlagnicked
cobol doubleplusbadlang
colored black
concern shilarny
cook vareet
corny hound-and-horny
cough kashl
cow korova
cow scoteena
crap cal
crazy bezoomny
criminal prestoopnik
cry blub
cry platch
cup chasha
cup tass
dago italian
darrell tyrant
dear dorogoy
dego italian
dirty grahzny
dog goodfriend
doorbell zvonock
dope goodsmoke
dream sneety
drink peet
drive yeckate
drug drencrom
drug synthemesc
drug vellocet
drugs knives
drums timps
drunk pyahnitsa
ear ooko
easter bunnyday
egg eggiweg
elite leet
erection pan-handle
excellent horrorshow
exhaust fag
exhausted faggy
expensive dorogoy
eyeglasses otchkies
face litso
fancy messel
feet nogas
fellow chelloveck
female sharp
fighting dratsing
filthy merzky
fine f9
food pishcha
fool nazz
fool shoot
for 4
fornicate sod
fortran plusbadlang
freedom slavery
friend droog
frightened poogly
game eegra
gang shaika
ganja goodsmoke
gender pol
generous sammy
ghost dook
girl ptitsa
girlfriend gf
good dobby
good horrorshow
grab skvat
great bolshy
group gruppa
guard chasso
gun pooshka
guts guttiwuts
hacker haxor
haha hh
hair glory
hair voloss
halloween scaryday
hand rooker
handful rookerful
handkerchief tashtook
happen sloochat
harm vred
hat shlapa
hate h8
head gulliver
hear sloosh
heart tick-tocker
heeb jew
helmet shlem
hit tolchock
hole yahma
homo gay
horror strack
house domy
jail joycamp
jam jammiwam
java doubleplusbadlang
joy radosty
key klootch
kike jew
knife nozh
kraut german
kyke jew
lady dama
later l8r
laugh guff
legs nogas
lesbo lesbian
lezbo lesbian
lezzie lesbian
liberty slavery
library biblio
life jeezny
lip goober
lisp doubleplusgoodlang
listen slooshy
little malenky
look smot
loud gromky
love luv
macaron francecookie
mad bezoomny
man chelloveck
man moodge
marijuana medicine
mate m8
message msg
mick irish
milk moloko
mind rassoodock
ministry mini
minute minoota
miss comrade
mister comrade
mistress comrade
money cutter
moon luna
mother em
mouth rot
mr comrade
mrs comrade
ms comrade
munching munchy-wunching
music noise
naked nagoy
name eemya
neck shiyah
negro black
newspaper gazetta
night nochy
nochy this
noise shoom
nonsense chepooka
office cantora
old starry
one odin
order soviet
paki pakistani
paw lapa
people lewdies
people ppl
person chelloveck
person orange
pet nonhuman
pillow podooshka
place mesto
please plz
pocket carman
police millicents
policeman rozz
potatoes kartoffel
prison joycamp
prisoner plenny
produce prod
punching punchipunching
push tolchock
python plusgoodlang
quickly skorry
razor britva
read papertalk
remarkable zammechat
rendezvous francespeak
rich bugatty
riches bugatties
rip razrez
robot bot
sad happy
sarcastic sarky
school skolliwoll
scratching skriking
scratchy fuzzy
see viddy
shiny silver-like
shithead skitebird
shoe sabog
shoulder pletcho
sick bolnoy
skate sk8
skater sk8r
sleep spatchka
sleep zasnoot
slice shive
slippers toofles
smell von
smelling nuking
snack mounch
snout morder
soiled grazzy
songs warbles
sound zvook
speak govoreet
speech talk
splash plesk
steal crast
story raskazz
stupid gloopy
sugar sakar
sweet sladky
sweetest sladkvat
take shvat
tea chai
teenage nadsat
teeth zoobies
terrible oozhassny
terrified spoogy
testicles yarbles
thanks tnx
thanksgiving turkeyday
thing veshch
thought messel
three tree
throat gorlo
time raz
tiny malenky
tire fag
tired faggy
tired fashed
to 2
tobacco snoutie
tomcat kot
tongue yahzick
too 2
train rapido
trout forella
trump cheeto
obama obummer
underpants neezhnies
useful polezny
vag vagina
valuable dorogoy
very doubleplus
voice goloss
waist tally
wait w8
war peace
washroom vaysay
weed goodsmoke
weep blub
well horrorshow
whisky firegold
whore sooka
wife zheena
wild flip
window okno
wine vehina
wine vino
woman womon
women womxn
wonderful choodessny
wonderful horrorshow
wop italian
word slovo
work rabbit
write papertalk
you u
young molodoy
your ur
